Municipio,M1_V,M1_a,M1_r,M1_ndR,M1_nd,M1_nm,M2_v,M2_a,M2_r,M2_ndR,M2_nd,M2_nm,M3_v,M3_a,M3_r,M3_ndR,M3_nd,M3_nm,M4_v,M4_a,M4_r,M4_ndR,M4_nd,M4_nm,M5_v,M5_a,M5_r,M5_ndR,M5_nd,M5_nm,M6_v,M6_a,M6_r,M6_ndR,M6_nd,M6_nm,M7_v,M7_a,M7_r,M7_ndR,M7_nd,M7_nm,M8_v,M8_a,M8_r,ndR,M8_nd,M8_nm,T_v,T_a,T_r,T_ndR,T_nd,T_nm
Francisco I. Madero,12.00,4.00,1.00,0.00,0.00,0.00,15.00,3.00,1.00,0.00,0.00,0.00,2.00,6.00,9.00,0.00,0.00,0.00,4.00,6.00,0.00,0.00,8.00,0.00,2.00,5.00,2.00,0.00,1.00,0.00,9.00,5.00,2.00,0.00,0.00,0.00,8.00,2.00,0.00,0.00,0.00,0.00,4.00,2.00,2.00,0.00,0.00,0.00,56.00,33.00,17.00,0.00,9.00,0.00
Huasca de Ocampo,9.00,1.00,6.00,1.00,0.00,0.00,12.00,3.00,4.00,0.00,0.00,0.00,6.00,6.00,1.00,0.00,1.00,3.00,6.00,4.00,1.00,0.00,7.00,0.00,3.00,4.00,2.00,0.00,1.00,0.00,9.00,5.00,2.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,1.00,0.00,2.00,3.00,3.00,0.00,0.00,0.00,56.00,26.00,19.00,1.00,10.00,3.00
Huautla,8.00,5.00,4.00,0.00,0.00,0.00,14.00,1.00,3.00,0.00,1.00,0.00,4.00,3.00,9.00,0.00,1.00,0.00,5.00,10.00,0.00,0.00,3.00,0.00,1.00,7.00,2.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,8.00,2.00,0.00,0.00,0.00,0.00,6.00,1.00,1.00,0.00,0.00,0.00,62.00,29.00,19.00,0.00,5.00,0.00
Huazalingo,8.00,0.00,4.00,5.00,0.00,0.00,5.00,3.00,3.00,0.00,6.00,2.00,0.00,6.00,10.00,0.00,1.00,0.00,0.00,4.00,4.00,0.00,10.00,0.00,1.00,2.00,6.00,0.00,1.00,0.00,10.00,0.00,6.00,0.00,0.00,0.00,1.00,1.00,6.00,0.00,2.00,0.00,7.00,0.00,1.00,0.00,0.00,0.00,32.00,16.00,40.00,5.00,20.00,2.00
Huehuetla,7.00,4.00,5.00,1.00,0.00,0.00,5.00,6.00,2.00,0.00,4.00,2.00,8.00,5.00,4.00,0.00,0.00,0.00,9.00,8.00,1.00,0.00,0.00,0.00,4.00,3.00,3.00,0.00,0.00,0.00,6.00,1.00,9.00,0.00,0.00,0.00,3.00,4.00,3.00,0.00,0.00,0.00,4.00,3.00,1.00,0.00,0.00,0.00,46.00,34.00,28.00,1.00,4.00,2.00
Huejutla de Reyes,13.00,3.00,1.00,0.00,0.00,0.00,12.00,1.00,4.00,0.00,0.00,2.00,6.00,2.00,1.00,0.00,1.00,7.00,8.00,6.00,0.00,0.00,3.00,1.00,5.00,3.00,1.00,0.00,1.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,8.00,2.00,0.00,0.00,0.00,0.00,7.00,0.00,1.00,0.00,0.00,0.00,75.00,17.00,8.00,0.00,5.00,10.00
Huichapan,13.00,0.00,4.00,0.00,0.00,0.00,14.00,0.00,1.00,0.00,1.00,3.00,8.00,2.00,0.00,0.00,0.00,7.00,9.00,6.00,1.00,0.00,2.00,0.00,6.00,3.00,1.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,7.00,2.00,1.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,81.00,13.00,8.00,0.00,3.00,10.00
Ixmiquilpan,9.00,7.00,1.00,0.00,0.00,0.00,12.00,0.00,4.00,0.00,0.00,3.00,2.00,5.00,2.00,0.00,1.00,7.00,2.00,7.00,1.00,0.00,4.00,4.00,0.00,1.00,7.00,0.00,1.00,1.00,6.00,8.00,2.00,0.00,0.00,0.00,4.00,2.00,3.00,0.00,1.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,43.00,30.00,20.00,0.00,7.00,15.00
Jacala de Ledezma,4.00,6.00,5.00,2.00,0.00,0.00,0.00,3.00,8.00,1.00,7.00,0.00,0.00,1.00,15.00,0.00,1.00,0.00,0.00,0.00,8.00,0.00,10.00,0.00,0.00,1.00,8.00,0.00,1.00,0.00,1.00,3.00,12.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,2.00,0.00,1.00,3.00,2.00,2.00,0.00,0.00,6.00,17.00,66.00,5.00,21.00,0.00
Jaltocán,9.00,3.00,4.00,1.00,0.00,0.00,7.00,4.00,7.00,1.00,0.00,0.00,0.00,5.00,9.00,0.00,0.00,3.00,4.00,5.00,2.00,0.00,3.00,4.00,1.00,1.00,7.00,0.00,1.00,0.00,4.00,12.00,0.00,0.00,0.00,0.00,1.00,0.00,7.00,0.00,2.00,0.00,6.00,1.00,1.00,0.00,0.00,0.00,32.00,31.00,37.00,2.00,6.00,7.00
Juárez Hidalgo,4.00,6.00,6.00,1.00,0.00,0.00,15.00,1.00,2.00,0.00,1.00,0.00,3.00,2.00,11.00,0.00,1.00,0.00,4.00,2.00,2.00,0.00,10.00,0.00,2.00,3.00,4.00,0.00,1.00,0.00,12.00,3.00,1.00,0.00,0.00,0.00,5.00,2.00,2.00,0.00,1.00,0.00,7.00,0.00,1.00,0.00,0.00,0.00,52.00,19.00,29.00,1.00,14.00,0.00
La Misión,4.00,6.00,6.00,1.00,0.00,0.00,7.00,3.00,5.00,0.00,1.00,3.00,1.00,3.00,5.00,0.00,1.00,7.00,3.00,7.00,3.00,0.00,1.00,4.00,1.00,1.00,7.00,0.00,0.00,1.00,1.00,9.00,6.00,0.00,0.00,0.00,0.00,2.00,6.00,0.00,2.00,0.00,1.00,3.00,4.00,0.00,0.00,0.00,18.00,34.00,42.00,1.00,5.00,15.00
Lolotla,7.00,4.00,4.00,2.00,0.00,0.00,9.00,4.00,4.00,1.00,1.00,0.00,0.00,4.00,5.00,0.00,1.00,7.00,3.00,5.00,3.00,0.00,7.00,0.00,1.00,5.00,4.00,0.00,0.00,0.00,5.00,9.00,2.00,0.00,0.00,0.00,1.00,2.00,5.00,0.00,2.00,0.00,6.00,2.00,0.00,0.00,0.00,0.00,32.00,35.00,27.00,3.00,11.00,7.00
Metepec,4.00,5.00,8.00,0.00,0.00,0.00,17.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,15.00,0.00,1.00,0.00,0.00,6.00,4.00,0.00,8.00,0.00,1.00,0.00,8.00,0.00,1.00,0.00,3.00,8.00,5.00,0.00,0.00,0.00,2.00,0.00,6.00,0.00,2.00,0.00,7.00,1.00,0.00,0.00,0.00,0.00,35.00,21.00,47.00,0.00,12.00,0.00
