Municipio,M1_V,M1_a,M1_r,M1_ndR,M1_nd,M1_nm,M2_v,M2_a,M2_r,M2_ndR,M2_nd,M2_nm,M3_v,M3_a,M3_r,M3_ndR,M3_nd,M3_nm,M4_v,M4_a,M4_r,M4_ndR,M4_nd,M4_nm,M5_v,M5_a,M5_r,M5_ndR,M5_nd,M5_nm,M6_v,M6_a,M6_r,M6_ndR,M6_nd,M6_nm,M7_v,M7_a,M7_r,M7_ndR,M7_nd,M7_nm,M8_v,M8_a,M8_r,ndR,M8_nd,M8_nm,T_v,T_a,T_r,T_ndR,T_nd,T_nm
Huautla,8,5,4,0,0,0,14,1,3,0,1,0,4,3,9,0,1,0,5,10,0,0,3,0,1,7,2,0,0,0,16,0,0,0,0,0,8,2,0,0,0,0,6,1,1,0,0,0,62,29,19,0,5,0
Huazalingo,8,0,4,5,0,0,5,3,3,0,6,2,0,6,10,0,1,0,0,4,4,0,10,0,1,2,6,0,1,0,10,0,6,0,0,0,1,1,6,0,2,0,7,0,1,0,0,0,32,16,40,5,20,2
Huehuetla,7,4,5,1,0,0,5,6,2,0,4,2,8,5,4,0,0,0,9,8,1,0,0,0,4,3,3,0,0,0,6,1,9,0,0,0,3,4,3,0,0,0,4,3,1,0,0,0,46,34,28,1,4,2
Huejutla de Reyes,13,3,1,0,0,0,12,1,4,0,0,2,6,2,1,0,1,7,8,6,0,0,3,1,5,3,1,0,1,0,16,0,0,0,0,0,8,2,0,0,0,0,7,0,1,0,0,0,75,17,8,0,5,10
Huichapan,13,0,4,0,0,0,14,0,1,0,1,3,8,2,0,0,0,7,9,6,1,0,2,0,6,3,1,0,0,0,16,0,0,0,0,0,7,2,1,0,0,0,8,0,0,0,0,0,81,13,8,0,3,10
Ixmiquilpan,9,7,1,0,0,0,12,0,4,0,0,3,2,5,2,0,1,7,2,7,1,0,4,4,0,1,7,0,1,1,6,8,2,0,0,0,4,2,3,0,1,0,8,0,0,0,0,0,43,30,20,0,7,15
Jacala de Ledezma,4,6,5,2,0,0,0,3,8,1,7,0,0,1,15,0,1,0,0,0,8,0,10,0,0,1,8,0,1,0,1,3,12,0,0,0,0,0,8,0,2,0,1,3,2,2,0,0,6,17,66,5,21,0
Jaltocán,9,3,4,1,0,0,7,4,7,1,0,0,0,5,9,0,0,3,4,5,2,0,3,4,1,1,7,0,1,0,4,12,0,0,0,0,1,0,7,0,2,0,6,1,1,0,0,0,32,31,37,2,6,7
Juárez Hidalgo,4,6,6,1,0,0,15,1,2,0,1,0,3,2,11,0,1,0,4,2,2,0,10,0,2,3,4,0,1,0,12,3,1,0,0,0,5,2,2,0,1,0,7,0,1,0,0,0,52,19,29,1,14,0
La Misión,4,6,6,1,0,0,7,3,5,0,1,3,1,3,5,0,1,7,3,7,3,0,1,4,1,1,7,0,0,1,1,9,6,0,0,0,0,2,6,0,2,0,1,3,4,0,0,0,18,34,42,1,5,15
Lolotla,7,4,4,2,0,0,9,4,4,1,1,0,0,4,5,0,1,7,3,5,3,0,7,0,1,5,4,0,0,0,5,9,2,0,0,0,1,2,5,0,2,0,6,2,0,0,0,0,32,35,27,3,11,7
Metepec,4,5,8,0,0,0,17,1,1,0,0,0,1,0,15,0,1,0,0,6,4,0,8,0,1,0,8,0,1,0,3,8,5,0,0,0,2,0,6,0,2,0,7,1,0,0,0,0,35,21,47,0,12,0
Metztitlán,13,2,2,0,0,0,11,1,5,0,0,2,4,3,7,0,0,3,5,10,2,0,1,0,0,3,6,0,1,0,15,1,0,0,0,0,3,1,5,0,1,0,7,0,1,0,0,0,58,21,28,0,3,5
Mineral de la Reforma,17,0,0,0,0,0,15,0,1,0,0,3,12,0,1,0,0,4,13,1,0,0,0,4,8,1,0,0,0,1,16,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,99,2,2,0,0,12
Mineral del Chico,6,4,6,1,0,0,9,1,6,1,0,2,3,1,12,0,1,0,0,2,6,0,10,0,0,1,8,0,1,0,7,6,3,0,0,0,3,3,3,0,1,0,4,1,2,1,0,0,32,19,46,3,13,2
Mineral del Monte,12,1,4,0,0,0,12,1,1,0,2,3,6,2,1,0,1,7,11,2,1,0,0,4,7,2,0,0,0,1,15,1,0,0,0,0,5,3,2,0,0,0,6,2,0,0,0,0,74,14,9,0,3,15
Mixquiahuala de Juárez,2,4,5,6,0,0,6,1,7,0,3,2,4,0,5,0,1,7,3,5,2,0,8,0,2,2,5,0,1,0,2,3,11,0,0,0,0,2,6,0,2,0,5,1,2,0,0,0,24,18,43,6,15,9
Molango de Escamilla,5,2,4,6,0,0,8,3,6,1,1,0,2,1,13,0,1,0,5,2,3,0,8,0,5,2,2,0,1,0,3,4,9,0,0,0,1,4,3,0,2,0,4,1,1,2,0,0,33,19,41,9,13,0
Nicolás Flores,8,6,3,0,0,0,14,0,3,0,0,2,5,3,2,0,0,7,9,6,3,0,0,0,3,2,5,0,0,0,8,3,5,0,0,0,5,0,5,0,0,0,6,0,2,0,0,0,58,20,28,0,0,9
Nopala de Villagrán,8,2,2,5,0,0,4,4,5,1,5,0,5,1,3,0,1,7,4,7,2,0,5,0,3,2,4,0,1,0,12,3,1,0,0,0,5,2,1,0,2,0,3,1,4,0,0,0,44,22,22,6,14,7
Omitlán de Juárez,7,2,8,0,0,0,5,1,10,1,0,2,3,4,9,0,1,0,8,5,3,0,2,0,1,4,4,0,1,0,8,7,1,0,0,0,2,4,2,0,2,0,3,3,2,0,0,0,37,30,39,1,6,2
Pachuca de Soto,12,2,3,0,0,0,13,0,3,0,0,3,15,2,0,0,0,0,8,3,0,0,1,6,7,2,0,0,0,1,14,2,0,0,0,0,8,2,0,0,0,0,8,0,0,0,0,0,85,13,6,0,1,10
Pacula,5,7,5,0,0,0,7,1,2,0,7,2,5,3,1,0,1,7,1,5,4,0,8,0,0,0,9,0,1,0,4,6,6,0,0,0,4,0,4,0,2,0,5,3,0,0,0,0,31,25,31,0,19,9
Pisaflores,9,3,5,0,0,0,9,3,7,0,0,0,0,2,7,0,1,7,5,6,0,0,7,0,0,3,6,0,1,0,3,3,10,0,0,0,2,3,4,0,1,0,5,2,1,0,0,0,33,25,40,0,10,7
Progreso de Obregón,12,5,0,0,0,0,10,4,3,0,0,2,6,4,4,0,0,3,12,4,0,0,1,1,5,4,1,0,0,0,8,6,2,0,0,0,5,1,3,0,1,0,3,2,1,2,0,0,61,30,14,2,2,6
San Agustín Metzquititlán,8,2,1,6,0,0,6,3,6,1,1,2,0,3,13,0,1,0,1,5,4,0,8,0,0,4,5,0,1,0,7,3,6,0,0,0,0,0,8,0,2,0,1,3,2,2,0,0,23,23,45,9,13,2
San Agustín Tlaxiaca,12,4,1,0,0,0,15,2,2,0,0,0,4,2,6,0,1,4,12,4,2,0,0,0,4,6,0,0,0,0,7,9,0,0,0,0,0,3,6,0,1,0,5,1,2,0,0,0,59,31,19,0,2,4
San Bartolo Tutotepec,5,5,7,0,0,0,9,0,7,1,0,2,0,0,9,0,1,7,4,12,1,0,0,1,5,0,4,0,1,0,6,9,1,0,0,0,4,3,2,0,1,0,2,2,2,2,0,0,35,31,33,3,3,10
San Felipe Orizatlán,11,2,4,0,0,0,11,3,3,0,0,2,5,4,0,0,1,7,12,6,0,0,0,0,4,4,1,0,1,0,10,2,4,0,0,0,8,0,1,0,1,0,6,2,0,0,0,0,67,23,13,0,3,9
San Salvador,11,5,1,0,0,0,9,5,3,0,0,2,3,2,9,0,0,3,6,4,2,0,6,0,3,3,3,0,1,0,8,3,5,0,0,0,4,2,4,0,0,0,4,3,1,0,0,0,48,27,28,0,7,5
Santiago de Anaya,14,1,2,0,0,0,13,0,4,0,0,2,2,3,9,0,0,3,4,6,2,0,6,0,5,3,2,0,0,0,13,1,2,0,0,0,6,1,2,0,1,0,8,0,0,0,0,0,65,15,23,0,7,5
Santiago Tulantepec de Lugo Guerrero,14,2,1,0,0,0,9,1,7,0,2,0,10,3,4,0,0,0,4,4,2,0,8,0,3,4,3,0,0,0,7,7,2,0,0,0,0,0,8,0,2,0,6,1,1,0,0,0,53,22,28,0,12,0
Singuilucan,10,2,4,1,0,0,14,0,4,0,1,0,6,4,3,0,1,3,8,6,1,0,2,1,7,2,1,0,0,0,15,1,0,0,0,0,2,0,6,0,2,0,7,1,0,0,0,0,69,16,19,1,6,4
Tasquillo,4,3,4,6,0,0,7,5,4,1,0,2,2,1,6,0,1,7,2,6,3,0,4,3,0,2,7,0,1,0,5,4,7,0,0,0,3,2,5,0,0,0,4,2,2,0,0,0,27,25,38,7,6,12
Tecozautla,5,7,4,1,0,0,10,2,3,0,1,3,5,1,3,0,1,7,5,7,0,0,5,1,1,6,2,0,0,1,5,11,0,0,0,0,3,2,4,0,1,0,4,2,2,0,0,0,38,38,18,1,8,12
Tenango de Doria,13,1,3,0,0,0,4,1,11,0,0,3,4,1,9,0,0,3,4,8,6,0,0,0,0,1,9,0,0,0,10,0,6,0,0,0,0,2,8,0,0,0,4,1,3,0,0,0,39,15,55,0,0,6
Tepeapulco,7,7,3,0,0,0,15,1,3,0,0,0,5,4,4,0,1,3,9,4,4,0,0,1,2,2,6,0,0,0,6,10,0,0,0,0,7,3,0,0,0,0,7,1,0,0,0,0,58,32,20,0,1,4
Tepehuacán de Guerrero,10,4,2,1,0,0,10,2,4,0,1,2,3,3,3,0,1,7,3,6,1,0,8,0,3,4,2,0,1,0,9,7,0,0,0,0,1,3,5,0,1,0,4,2,2,0,0,0,43,31,19,1,12,9
Tepeji del Río de Ocampo,11,6,0,0,0,0,14,0,4,0,0,1,11,2,0,0,1,3,16,2,0,0,0,0,7,3,0,0,0,0,16,0,0,0,0,0,10,0,0,0,0,0,7,1,0,0,0,0,92,14,4,0,1,4
Tepetitlán,6,3,5,3,0,0,9,1,6,1,0,2,3,5,5,0,1,3,4,4,0,0,9,1,0,3,6,0,1,0,12,4,0,0,0,0,10,0,0,0,0,0,2,2,2,2,0,0,46,22,24,6,11,6
Tetepango,9,5,3,0,0,0,13,2,3,0,1,0,6,4,4,0,0,3,7,6,3,0,1,1,4,4,2,0,0,0,13,1,2,0,0,0,2,4,4,0,0,0,7,0,1,0,0,0,61,26,22,0,2,4
Tezontepec de Aldama,3,4,4,6,0,0,1,3,5,1,7,2,3,1,5,0,1,7,1,1,6,0,10,0,1,2,6,0,1,0,4,7,5,0,0,0,0,3,5,0,2,0,0,0,6,2,0,0,13,21,42,9,21,9
Tianguistengo,4,6,5,2,0,0,4,4,6,1,4,0,0,1,15,0,1,0,0,5,3,0,10,0,1,3,5,0,1,0,1,9,6,0,0,0,0,5,3,0,2,0,1,2,4,1,0,0,11,35,47,4,18,0
Tizayuca,16,1,0,0,0,0,16,0,1,0,0,2,17,0,0,0,0,0,18,0,0,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,111,1,1,0,0,2
Tlahuelilpan,12,1,4,0,0,0,10,2,4,0,0,3,11,3,3,0,0,0,11,4,1,0,2,0,4,5,0,0,1,0,13,3,0,0,0,0,1,7,0,0,2,0,7,1,0,0,0,0,69,26,12,0,5,3
Tlahuiltepa,13,0,4,0,0,0,16,2,1,0,0,0,8,4,1,0,1,3,7,4,0,0,4,3,6,3,0,0,0,1,16,0,0,0,0,0,8,0,0,0,2,0,8,0,0,0,0,0,82,13,6,0,7,7
Tlanalapa,8,8,1,0,0,0,7,2,8,0,0,2,7,1,1,0,1,7,8,8,1,0,0,1,1,2,7,0,0,0,7,1,8,0,0,0,7,1,1,0,1,0,3,3,2,0,0,0,48,26,29,0,2,10
Tlanchinol,11,4,2,0,0,0,18,1,0,0,0,0,9,1,0,0,0,7,9,6,3,0,0,0,2,5,3,0,0,0,10,6,0,0,0,0,7,1,2,0,0,0,6,1,1,0,0,0,72,25,11,0,0,7
Tlaxcoapan,13,3,1,0,0,0,14,2,3,0,0,0,3,3,10,0,1,0,12,3,2,0,1,0,4,5,1,0,0,0,16,0,0,0,0,0,7,1,1,0,1,0,7,1,0,0,0,0,76,18,18,0,3,0
Tolcayuca,8,7,1,1,0,0,15,1,1,0,0,2,7,4,1,0,1,4,4,6,0,0,8,0,1,5,3,0,1,0,3,12,1,0,0,0,1,5,2,0,2,0,5,3,0,0,0,0,44,43,9,1,12,6
Tula de Allende,15,1,1,0,0,0,12,0,5,0,0,2,10,0,0,0,0,7,14,3,0,0,0,1,9,0,1,0,0,0,13,3,0,0,0,0,9,0,1,0,0,0,7,1,0,0,0,0,89,8,8,0,0,10
Tulancingo de Bravo,12,4,1,0,0,0,14,2,3,0,0,0,11,4,2,0,0,0,11,5,2,0,0,0,8,1,1,0,0,0,16,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,90,16,9,0,0,0
Villa de Tezontepec,9,5,1,2,0,0,15,0,2,0,0,2,5,4,4,0,1,3,6,2,0,0,10,0,6,0,4,0,0,0,14,1,1,0,0,0,4,2,2,0,2,0,6,1,1,0,0,0,65,15,15,2,13,5
Xochiatipan,5,3,8,1,0,0,9,3,6,0,1,0,0,0,14,0,0,3,2,4,12,0,0,0,0,0,10,0,0,0,1,6,9,0,0,0,0,0,10,0,0,0,4,0,4,0,0,0,21,16,73,1,1,3
Xochicoatlán,13,2,2,0,0,0,9,2,6,0,0,2,2,0,7,0,1,7,5,6,2,0,4,1,1,4,4,0,1,0,7,3,6,0,0,0,3,2,4,0,1,0,7,1,0,0,0,0,47,20,31,0,7,10
Yahualica,4,5,7,1,0,0,2,3,8,0,6,0,0,5,4,0,1,7,0,5,3,0,10,0,0,3,6,0,1,0,9,7,0,0,0,0,1,0,7,0,2,0,2,2,4,0,0,0,18,30,39,1,20,7
Zacualtipán de Ángeles,13,2,1,1,0,0,16,0,0,0,3,0,8,2,7,0,0,0,7,11,0,0,0,0,7,0,3,0,0,0,16,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,85,15,11,1,3,0
Zapotlán de Juárez,11,2,4,0,0,0,13,0,3,0,1,2,11,1,0,0,1,4,14,0,1,0,0,3,8,0,0,0,1,1,16,0,0,0,0,0,10,0,0,0,0,0,6,1,1,0,0,0,89,4,9,0,3,10
Zempoala,11,4,2,0,0,0,10,4,3,0,0,2,8,6,2,0,1,0,7,9,0,0,2,0,2,5,3,0,0,0,13,3,0,0,0,0,9,1,0,0,0,0,5,1,2,0,0,0,65,33,12,0,3,2
Zimapán,7,7,3,0,0,0,16,1,2,0,0,0,6,1,10,0,0,0,12,5,0,0,1,0,3,3,4,0,0,0,10,3,3,0,0,0,6,1,3,0,0,0,6,1,1,0,0,0,66,22,26,0,1,0
